UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,datetime,plant,temperature,humidity,rainfall,temp_gap,humidity_stress
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,2023-01-03 07:00:00,Plant_A,38.44,57.54,0.0,-2.4899999999999523,0.5754
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,2023-01-03 08:00:00,Plant_A,21.77,78.36,0.5,14.180000000000064,0.7836
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,2023-01-03 09:00:00,Plant_A,23.92,60.1,0.2,12.03000000000003,0.601
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2023-01-03 10:00:00,Plant_A,20.9,63.99,0.0,14.950000000000045,0.6399
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,2023-01-03 11:00:00,Plant_A,26.51,71.38,0.5,9.440000000000055,0.7138
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,2023-01-03 12:00:00,Plant_A,27.77,83.68,0.0,8.180000000000064,0.8368000000000001
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,2023-01-03 13:00:00,Plant_A,25.43,89.2,0.0,10.420000000000016,0.892
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,2023-01-03 14:00:00,Plant_A,36.57,78.41,0.0,-0.7199999999999704,0.7841
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,2023-01-03 15:00:00,Plant_A,27.14,60.89,0.5,8.710000000000036,0.6089
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,2023-01-03 16:00:00,Plant_A,25.62,61.07,0.2,10.330000000000041,0.6107
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,2023-01-03 17:00:00,Plant_A,30.85,76.88,2.0,5.100000000000023,0.7687999999999999
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,2023-01-03 18:00:00,Plant_A,22.82,51.94,0.0,12.930000000000007,0.5194
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2023-01-03 19:00:00,Plant_A,36.04,45.52,0.0,-0.29000000000002046,0.45520000000000005
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,2023-01-03 20:00:00,Plant_A,21.49,57.73,2.0,14.259999999999991,0.5772999999999999
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,2023-01-03 21:00:00,Plant_A,39.74,54.36,1.0,-3.8899999999999864,0.5436
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2023-01-03 22:00:00,Plant_A,35.44,54.82,2.0,0.410000000000025,0.5482
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,2023-01-03 23:00:00,Plant_A,23.97,51.68,0.0,11.980000000000018,0.5168
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,2023-01-04 00:00:00,Plant_A,20.11,42.1,0.0,15.840000000000032,0.42100000000000004
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,2023-01-04 01:00:00,Plant_A,36.31,40.89,0.5,-0.3599999999999568,0.4089
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,2023-01-04 02:00:00,Plant_A,34.14,89.39,0.5,1.7100000000000364,0.8939
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,2023-01-04 03:00:00,Plant_A,34.58,61.39,0.0,1.170000000000016,0.6139
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,2023-01-04 04:00:00,Plant_A,35.43,59.22,0.2,0.3199999999999932,0.5922
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,2023-01-04 05:00:00,Plant_A,21.48,73.98,0.0,14.269999999999982,0.7398
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,2023-01-04 06:00:00,Plant_A,27.17,50.91,0.0,8.579999999999984,0.5091
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,2023-01-04 07:00:00,Plant_A,22.32,87.5,0.0,13.430000000000007,0.875
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,2023-01-04 08:00:00,Plant_A,37.26,79.32,2.0,-1.6099999999999568,0.7931999999999999
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,2023-01-04 09:00:00,Plant_A,32.47,44.47,1.0,3.2799999999999727,0.4447
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,2023-01-04 10:00:00,Plant_A,26.62,60.88,0.0,9.129999999999995,0.6088
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,2023-01-04 11:00:00,Plant_A,21.27,83.96,0.0,14.580000000000041,0.8395999999999999
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,2023-01-04 12:00:00,Plant_A,26.22,87.24,0.0,9.529999999999973,0.8724
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,2023-01-04 13:00:00,Plant_A,26.5,63.37,1.0,9.350000000000023,0.6336999999999999
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,2023-01-04 14:00:00,Plant_A,34.59,70.67,1.0,1.259999999999991,0.7067
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,2023-01-04 15:00:00,Plant_A,32.75,48.35,1.0,3.1000000000000227,0.48350000000000004
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,2023-01-04 16:00:00,Plant_A,37.74,89.56,0.0,-1.8899999999999864,0.8956000000000001
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,2023-01-04 17:00:00,Plant_A,29.44,51.58,0.0,6.310000000000002,0.5158
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,2023-01-04 18:00:00,Plant_A,22.39,87.14,0.0,13.360000000000014,0.8714
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,2023-01-04 19:00:00,Plant_A,34.26,72.48,0.5,1.490000000000009,0.7248
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2023-01-04 20:00:00,Plant_A,35.22,70.39,0.5,0.5299999999999727,0.7039
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,2023-01-04 21:00:00,Plant_A,31.23,65.63,0.0,4.6200000000000045,0.6563
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,2023-01-04 22:00:00,Plant_A,35.42,51.53,1.0,0.3299999999999841,0.5153
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,2023-01-04 23:00:00,Plant_A,29.88,48.83,0.0,5.970000000000027,0.48829999999999996
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,2023-01-05 00:00:00,Plant_A,30.45,51.02,0.0,5.400000000000034,0.5102
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2023-01-05 01:00:00,Plant_A,28.55,49.32,0.0,7.199999999999989,0.4932
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,2023-01-05 02:00:00,Plant_A,20.51,78.98,0.0,15.140000000000043,0.7898000000000001
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,2023-01-05 03:00:00,Plant_A,22.16,57.51,0.0,13.490000000000009,0.5751
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,2023-01-05 04:00:00,Plant_A,20.63,42.89,0.5,15.120000000000005,0.4289
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,2023-01-05 05:00:00,Plant_A,32.73,88.46,2.0,2.920000000000016,0.8845999999999999
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,2023-01-05 06:00:00,Plant_A,26.29,84.19,1.0,9.360000000000014,0.8419
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,2023-01-05 07:00:00,Plant_A,30.17,86.39,0.2,5.480000000000018,0.8639
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,2023-01-05 08:00:00,Plant_A,38.15,89.75,2.0,-2.599999999999966,0.8975
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,2023-01-05 09:00:00,Plant_A,24.99,48.69,1.0,10.560000000000002,0.4869
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,2023-01-05 10:00:00,Plant_A,28.21,59.81,0.2,7.340000000000032,0.5981000000000001
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,2023-01-05 11:00:00,Plant_A,35.11,77.91,0.0,0.5400000000000205,0.7791
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,2023-01-05 12:00:00,Plant_A,24.58,74.8,0.0,11.07000000000005,0.748
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,2023-01-05 13:00:00,Plant_A,21.54,47.69,0.0,14.009999999999991,0.4769
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,2023-01-05 14:00:00,Plant_A,25.8,80.79,0.0,9.650000000000034,0.8079000000000001
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,2023-01-05 15:00:00,Plant_A,23.22,51.22,2.0,12.230000000000018,0.5122
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2023-01-05 16:00:00,Plant_A,38.59,51.19,0.0,-3.0400000000000205,0.5119
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,2023-01-05 17:00:00,Plant_A,36.16,66.85,2.0,-0.7099999999999227,0.6685
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,2023-01-05 18:00:00,Plant_A,32.67,69.65,0.5,2.7800000000000296,0.6965
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,2023-01-05 19:00:00,Plant_A,37.43,69.0,0.2,-1.9799999999999613,0.69
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,2023-01-05 20:00:00,Plant_A,36.07,44.57,0.0,-0.5199999999999818,0.4457
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,2023-01-05 21:00:00,Plant_A,23.73,83.87,2.0,11.720000000000027,0.8387
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,2023-01-05 22:00:00,Plant_A,37.85,53.28,0.2,-2.3999999999999773,0.5328
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,2023-01-05 23:00:00,Plant_A,30.79,46.48,1.0,4.560000000000002,0.4648
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,2023-01-06 00:00:00,Plant_A,36.15,84.44,0.2,-0.5999999999999659,0.8443999999999999
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,2023-01-06 01:00:00,Plant_A,37.92,87.78,1.0,-2.3700000000000045,0.8778
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,2023-01-06 02:00:00,Plant_A,26.36,83.11,2.0,9.29000000000002,0.8311
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,2023-01-06 03:00:00,Plant_A,22.2,80.48,0.5,13.350000000000023,0.8048000000000001
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,2023-01-06 04:00:00,Plant_A,24.56,72.76,2.0,10.990000000000009,0.7276
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,2023-01-06 05:00:00,Plant_A,28.54,67.54,1.0,6.910000000000025,0.6754000000000001
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,2023-01-06 06:00:00,Plant_A,36.36,44.35,0.2,-0.9099999999999682,0.4435
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,2023-01-06 07:00:00,Plant_A,37.21,60.42,0.2,-1.759999999999934,0.6042000000000001
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,2023-01-06 08:00:00,Plant_A,20.14,58.63,1.0,15.31000000000006,0.5863
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,2023-01-06 09:00:00,Plant_A,30.21,52.99,0.0,5.140000000000043,0.5299
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,2023-01-06 10:00:00,Plant_A,28.35,76.17,0.5,6.899999999999977,0.7617
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,2023-01-06 11:00:00,Plant_A,24.44,64.79,0.0,10.810000000000002,0.6479
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,2023-01-06 12:00:00,Plant_A,22.4,44.05,0.0,12.850000000000023,0.44049999999999995
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,2023-01-06 13:00:00,Plant_A,26.75,51.01,0.2,8.5,0.5101
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,2023-01-06 14:00:00,Plant_A,38.86,74.16,0.0,-3.6100000000000136,0.7415999999999999
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,2023-01-06 15:00:00,Plant_A,26.46,43.81,0.0,8.890000000000043,0.43810000000000004
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,2023-01-06 16:00:00,Plant_A,30.38,82.56,2.0,4.970000000000027,0.8256
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,2023-01-06 17:00:00,Plant_A,34.06,64.76,0.0,1.3900000000000432,0.6476000000000001
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,2023-01-06 18:00:00,Plant_A,27.27,64.03,0.0,8.180000000000064,0.6403
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,2023-01-06 19:00:00,Plant_A,39.44,69.62,1.0,-3.9899999999999523,0.6962
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,2023-01-06 20:00:00,Plant_A,39.25,81.23,0.0,-3.7999999999999545,0.8123
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,2023-01-06 21:00:00,Plant_A,25.04,57.39,0.2,10.310000000000002,0.5739
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,2023-01-06 22:00:00,Plant_A,29.94,73.9,0.0,5.310000000000002,0.7390000000000001
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,2023-01-06 23:00:00,Plant_A,26.02,68.29,0.0,9.230000000000018,0.6829000000000001
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,2023-01-07 00:00:00,Plant_A,25.7,53.35,0.2,9.550000000000011,0.5335
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,2023-01-07 01:00:00,Plant_A,20.74,83.93,0.0,14.509999999999991,0.8393
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,2023-01-07 02:00:00,Plant_A,32.19,79.87,1.0,3.0600000000000023,0.7987000000000001
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,2023-01-07 03:00:00,Plant_A,30.05,72.92,2.0,5.199999999999989,0.7292000000000001
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,2023-01-07 04:00:00,Plant_A,21.03,82.53,0.2,14.120000000000061,0.8253
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,2023-01-07 05:00:00,Plant_A,25.57,83.36,2.0,9.580000000000041,0.8336
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,2023-01-07 06:00:00,Plant_A,38.17,75.42,0.0,-3.019999999999982,0.7542
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,2023-01-07 07:00:00,Plant_A,24.79,81.85,0.0,10.259999999999991,0.8184999999999999
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2023-01-07 08:00:00,Plant_A,22.9,74.87,0.0,12.150000000000034,0.7487
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,2023-01-07 09:00:00,Plant_A,29.79,74.01,0.0,5.259999999999991,0.7401000000000001
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,2023-01-07 10:00:00,Plant_A,39.71,70.93,0.0,-4.659999999999968,0.7093
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2023-01-07 11:00:00,Plant_A,24.84,77.64,0.5,10.210000000000036,0.7764
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,2023-01-07 12:00:00,Plant_A,33.44,47.93,0.0,1.5100000000000477,0.4793
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2023-01-07 13:00:00,Plant_A,35.23,84.04,0.0,-0.18000000000000682,0.8404
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,2023-01-07 14:00:00,Plant_A,24.75,83.59,0.2,10.300000000000011,0.8359000000000001
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,2023-01-07 15:00:00,Plant_A,34.56,41.46,0.0,0.4900000000000091,0.4146
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,2023-01-07 16:00:00,Plant_A,27.36,81.29,0.2,7.689999999999998,0.8129000000000001
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,2023-01-07 17:00:00,Plant_A,32.65,46.44,0.2,2.300000000000068,0.4644
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,2023-01-07 18:00:00,Plant_A,32.67,56.76,0.0,2.2800000000000296,0.5676
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,2023-01-07 19:00:00,Plant_A,30.72,77.18,0.2,4.329999999999984,0.7718
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,2023-01-07 20:00:00,Plant_A,21.81,48.04,0.5,13.340000000000032,0.4804
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,2023-01-07 21:00:00,Plant_A,36.71,80.9,0.5,-1.4599999999999795,0.809
